State,Number of Eligible Voucher Households Currently in Poverty, Number Lifted Out of Poverty by Voucher , Number Lifted Out of Poverty by Voucher and Child Tax Credit 
Alabama,"63,150","21,499","27,891"
Alaska,"4,470","2,656","2,989"
Arizona,"77,637","37,044","46,720"
Arkansas,"40,493","13,915","18,652"
California,"417,210","272,403","312,661"
Colorado,"48,162","29,365","33,164"
Connecticut,"39,629","23,135","26,009"
Delaware,"6,359","3,295","4,047"
District of Columbia,"13,243","7,459","8,077"
Florida,"196,531","111,078","129,997"
Georgia,"109,018","46,735","60,001"
Hawaii,"11,962","7,254","7,813"
Idaho,"16,108","6,953","8,807"
Illinois,"146,131","69,818","84,197"
Indiana,"73,037","30,972","39,376"
Iowa,"31,451","15,185","18,102"
Kansas,"30,686","13,773","16,859"
Kentucky,"59,090","20,039","26,548"
Louisiana,"66,758","24,443","32,076"
Maine,"14,024","6,243","7,044"
Maryland,"46,054","28,217","31,170"
Massachusetts,"69,801","38,536","42,708"
Michigan,"130,667","58,848","71,130"
Minnesota,"45,291","24,457","28,633"
Mississippi,"40,633","11,745","17,196"
Missouri,"62,461","26,328","32,585"
Montana,"11,063","5,069","5,886"
Nebraska,"19,470","9,509","11,499"
Nevada,"33,298","18,673","22,223"
New Hampshire,"9,372","5,757","6,250"
New Jersey,"75,914","46,044","51,041"
New Mexico,"29,805","10,963","14,197"
New York,"274,629","152,017","171,795"
North Carolina,"118,682","49,942","64,442"
North Dakota,"8,350","4,246","4,746"
Ohio,"153,304","60,057","75,486"
Oklahoma,"43,096","16,335","21,597"
Oregon,"46,177","26,622","30,440"
Pennsylvania,"115,188","55,335","65,371"
Rhode Island,"15,214","6,909","8,099"
South Carolina,"55,387","22,012","28,116"
South Dakota,"9,031","3,849","4,549"
Tennessee,"80,190","31,218","40,800"
Texas,"287,784","131,967","170,521"
Utah,"20,381","10,182","12,526"
Vermont,"6,138","3,548","3,920"
Virginia,"73,530","37,639","44,089"
Washington,"79,532","47,035","52,889"
West Virginia,"22,813","6,818","8,851"
Wisconsin,"59,315","29,812","35,598"
Wyoming,"5,488","2,610","3,076"
