State,Number of Vouchers Going to Rental Households with Children,Number of Vouchers Going to Rental Households with Seniors,Number of Vouchers Going to Rental Households with Black Householders,Number of Vouchers Going to Rental Households with Hispanic Householders,Number of Vouchers Going to Rental Households with Householders of Color,Number of Vouchers Going to Rental Households in Poverty,Number of Vouchers Going to Rental Households with Food Stamps,Cost of Vouchers Going to Rental Households with Children,Cost of Vouchers Going to Rental Households with Seniors,Cost of Vouchers Going to Rental Households with Black Householders,Cost of Vouchers Going to Rental Households with Hispanic Householders,Cost of Vouchers Going to Rental Households with Householders of Color,Cost of Vouchers Going to Rental Households in Poverty,Cost of Vouchers Going to Rental Households with Food Stamps
Alabama,"26,400","34,167","43,989","2,311","49,552","63,150","41,821","$127,961,992 ","$114,326,480 ","$183,133,920 ","$10,792,244 ","$210,083,568 ","$295,980,544 ","$163,325,360 "
Alaska,"3,453","3,666",457,566,"4,567","4,470","3,758","$26,385,098 ","$18,481,904 ","$3,701,800 ","$4,916,949 ","$27,006,496 ","$30,949,056 ","$19,606,472 "
Arizona,"38,861","47,233","10,577","35,901","58,620","77,637","44,639","$241,669,392 ","$277,348,000 ","$67,826,048 ","$186,634,592 ","$324,471,584 ","$544,308,288 ","$231,800,896 "
Arkansas,"18,159","22,304","17,960","2,582","23,112","40,493","23,984","$82,685,576 ","$81,327,288 ","$73,753,128 ","$11,511,971 ","$95,776,472 ","$180,501,696 ","$88,877,072 "
California,"266,860","337,039","88,573","263,258","480,820","417,210","196,864","$2,409,944,320 ","$2,526,095,360 ","$725,089,920 ","$2,010,325,248 ","$3,978,780,928 ","$4,132,916,224 ","$1,535,903,872 "
Colorado,"26,122","37,453","7,620","18,058","32,417","48,162","28,264","$199,556,464 ","$252,057,504 ","$53,728,640 ","$114,521,456 ","$219,732,336 ","$406,813,536 ","$163,939,168 "
Connecticut,"22,449","40,704","17,057","1,572","23,430","39,629","39,298","$176,237,632 ","$217,182,800 ","$108,718,888 ","$11,316,043 ","$156,229,840 ","$302,700,576 ","$232,408,400 "
Delaware,"3,281","4,297","4,444",509,"5,583","6,359","4,508","$21,431,006 ","$20,978,342 ","$25,614,118 ","$3,443,910 ","$33,096,034 ","$48,508,380 ","$23,314,048 "
District of Columbia,"5,683","11,422","19,550",392,"21,428","13,243","10,405","$46,165,396 ","$69,282,600 ","$133,324,520 ","$3,783,678 ","$153,066,240 ","$127,004,344 ","$68,345,536 "
Florida,"98,651","148,340","87,144","11,516","109,959","196,531","149,266","$795,444,032 ","$992,904,000 ","$581,842,240 ","$72,742,824 ","$748,460,864 ","$1,607,240,960 ","$927,227,904 "
Georgia,"61,422","65,386","93,405","9,041","110,535","109,018","77,489","$360,000,160 ","$301,580,128 ","$495,848,544 ","$51,910,476 ","$606,430,528 ","$669,775,936 ","$369,144,352 "
Hawaii,"8,045","13,258",721,"1,047","19,273","11,962","9,658","$100,717,888 ","$87,342,840 ","$9,613,182 ","$14,416,937 ","$157,167,264 ","$112,719,704 ","$64,143,932 "
Idaho,"7,036","9,510",167,"3,034","4,494","16,108","9,886","$34,747,940 ","$49,575,928 ","$1,331,768 ","$14,013,863 ","$21,622,258 ","$90,291,560 ","$41,069,180 "
Illinois,"65,668","108,420","84,735","26,896","128,136","146,131","113,905","$429,864,768 ","$577,752,128 ","$507,353,952 ","$153,920,512 ","$790,071,872 ","$1,030,878,528 ","$604,784,128 "
