State,Households_Served_Expected_to_Use_Voucher_30_NUMERIC,Households_Served_Expected_to_Use_Voucher_30,Percent_of_Vouchers_30,Annual_Cost_of_Vouchers_30,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_30,HUD_Average_Monthly_Expenditure_per_Household_30,Annual_Administrative_Cost_30,Total_Eligible_Households_30,Total_Eligible_Households_30_NUMERIC,Total_Annual_Cost_of_Vouchers_30,Total_Monthly_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Total_Annual_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Actual_Number_of_Vouchers_Available_2020_30,Actual_Number_of_Vouchers_Available_2020_30_NUMERIC,Estimated_Monthly_Expenditure_30,Estimated_Annual_Expenditure_30,Households_Served_Expected_to_Use_Voucher_50_NUMERIC,Households_Served_Expected_to_Use_Voucher_50,Percent_of_Vouchers_50,Annual_Cost_of_Vouchers_50,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_50,HUD_Average_Monthly_Expenditure_per_Household_50,Annual_Administrative_Cost_50,Total_Eligible_Households_50,Total_Eligible_Households_50_NUMERIC,Total_Annual_Cost_of_Vouchers_50,Total_Monthly_Cost_of_Vouchers_if_Only_Renters_Participate_50,Total_Annual_Cost_of_Vouchers_if_Only_Renters_Participate_50,Actual_Number_of_Vouchers_Available_2020_50,Actual_Number_of_Vouchers_Available_2020_50_NUMERIC,Estimated_Monthly_Expenditure_50,Estimated_Annual_Expenditure_50,Voucher_Gap_30,Actual_HUD_Avg_Monthly_Expenditure_per_HH_by_State,Actual_Estimated_Annual_Expenditure,Voucher_Gap_50
Alabama,60685,"60,685",1.50%,"$287,618,176 ","$420,182,592 ",$577 ,"$51,813,416 ","155,144",155144,"$1,463,770,464 ","$72,907,440 ","$874,889,280 ","38,828",38828,"$22,403,756 ","$268,845,072 ",94214,"94,214",1.50%,"$397,953,280 ","$652,337,088 ",$577 ,"$80,440,776 ","234,746",234746,"$2,193,077,184 ","$98,698,008 ","$1,184,376,096 ","38,828",38828,"$22,403,756 ","$268,845,072 ",116316,$577 ,"$268,845,072 ",195918
Alaska,6470,"6,470",0.20%,"$42,308,864 ","$45,808,520 ",$590 ,"$5,524,262 ","15,866",15866,"$225,390,000 ","$10,473,593 ","$125,683,116 ","4,858",4858,"$2,866,220 ","$34,394,640 ",11149,"11,149",0.20%,"$69,682,424 ","$78,935,696 ",$590 ,"$9,519,221 ","28,043",28043,"$379,116,432 ","$17,458,378 ","$209,500,536 ","4,858",4858,"$2,866,220 ","$34,394,640 ",11008,$590 ,"$34,394,640 ",23185
Arizona,77774,"77,774",2.00%,"$547,131,648 ","$733,559,936 ",$786 ,"$66,403,820 ","182,368",182368,"$2,360,150,784 ","$117,256,728 ","$1,407,080,736 ","24,822",24822,"$19,510,092 ","$234,121,104 ",127066,"127,066",2.00%,"$795,361,344 ","$1,198,487,296 ",$786 ,"$108,490,296 ","296,187",296187,"$3,575,436,672 ","$166,979,136 ","$2,003,749,632 ","24,822",24822,"$19,510,092 ","$234,121,104 ",157546,$786 ,"$234,121,104 ",271365
Arkansas,35313,"35,313",0.90%,"$163,280,608 ","$187,722,656 ",$443 ,"$30,150,392 ","91,689",91689,"$749,240,544 ","$40,288,088 ","$483,457,056 ","26,507",26507,"$11,742,601 ","$140,911,212 ",61356,"61,356",1.00%,"$247,577,856 ","$326,168,352 ",$443 ,"$52,386,344 ","157,724",157724,"$1,241,866,560 ","$60,094,404 ","$721,132,848 ","26,507",26507,"$11,742,601 ","$140,911,212 ",65182,$443 ,"$140,911,212 ",131217
California,513259,"513,259",13.00%,"$4,911,226,368 ","$7,470,994,432 ","$1,213 ","$438,225,440 ","1,422,510",1422510,"$22,165,604,352 ","$1,237,879,168 ","$14,854,550,016 ","349,944",349944,"$424,482,072 ","$5,093,784,864 ",826629,"826,629",12.80%,"$7,288,191,488 ","$12,032,410,624 ","$1,213 ","$705,784,064 ","2,333,070",2333070,"$35,124,827,136 ","$1,839,348,608 ","$22,072,183,296 ","349,944",349944,"$424,482,072 ","$5,093,784,864 ",1072566,"$1,213 ","$5,093,784,864 ",1983126
Colorado,57353,"57,353",1.50%,"$466,404,320 ","$670,339,392 ",$974 ,"$48,968,380 ","151,317",151317,"$2,195,992,320 ","$112,633,432 ","$1,351,601,184 ","35,561",35561,"$34,636,414 ","$415,636,968 ",101032,"101,032",1.60%,"$744,040,000 ","$1,180,862,336 ",$974 ,"$86,262,152 ","273,855",273855,"$3,747,019,776 ","$179,263,680 ","$2,151,164,160 ","35,561",35561,"$34,636,414 ","$415,636,968 ",115756,$974 ,"$415,636,968 ",238294
Connecticut,56732,"56,732",1.40%,"$393,043,008 ","$675,338,240 ",$992 ,"$48,438,384 ","140,852",140852,"$1,869,070,272 ","$92,721,976 ","$1,112,663,712 ","43,986",43986,"$43,634,112 ","$523,609,344 ",89746,"89,746",1.40%,"$578,914,496 ","$1,068,340,992 ",$992 ,"$76,626,368 ","227,510",227510,"$3,101,140,032 ","$136,778,128 ","$1,641,337,536 ","43,986",43986,"$43,634,112 ","$523,609,344 ",96866,$992 ,"$523,609,344 ",183524
Delaware,6900,"6,900",0.20%,"$50,146,908 ","$63,510,388 ",$767 ,"$5,891,548 ","24,979",24979,"$376,877,544 ","$17,643,314 ","$211,719,768 ","5,549",5549,"$4,256,083 ","$51,072,996 ",11289,"11,289",0.20%,"$71,953,824 ","$103,903,400 ",$767 ,"$9,638,609 ","40,812",40812,"$575,465,616 ","$24,936,302 ","$299,235,624 ","5,549",5549,"$4,256,083 ","$51,072,996 ",19430,$767 ,"$51,072,996 ",35263
District of Columbia,18852,"18,852",0.50%,"$161,626,192 ","$297,940,512 ","$1,317 ","$16,096,215 ","48,003",48003,"$589,944,528 ","$39,007,388 ","$468,088,656 ","16,163",16163,"$21,286,671 ","$255,440,052 ",26765,"26,765",0.40%,"$216,181,664 ","$422,997,280 ","$1,317 ","$22,852,398 ","69,950",69950,"$821,331,840 ","$52,041,940 ","$624,503,280 ","16,163",16163,"$21,286,671 ","$255,440,052 ",31840,"$1,317 ","$255,440,052 ",53787
Florida,204691,"204,691",5.20%,"$1,687,370,240 ","$2,343,308,032 ",$954 ,"$174,767,616 ","555,892",555892,"$8,608,925,952 ","$422,977,600 ","$5,075,731,200 ","116,459",116459,"$111,101,886 ","$1,333,222,632 ",345523,"345,523",5.30%,"$2,575,587,840 ","$3,955,549,952 ",$954 ,"$295,011,168 ","952,005",952005,"$13,765,767,168 ","$640,072,640 ","$7,680,871,680 ","116,459",116459,"$111,101,886 ","$1,333,222,632 ",439433,$954 ,"$1,333,222,632 ",835546
