MSA,MSA_cities,MSA_states,Total_Eligible_Households_30,Total_Eligible_Households_30_NUMERIC,Total_Monthly_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Total_Annual_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Actual_Number_of_Vouchers_Available_2020_30,Actual_Number_of_Vouchers_Available_2020_30_NUMERIC,Estimated_Monthly_Expenditure_30,Estimated_Annual_Expenditure_30,Households_Served_Expected_to_Use_Voucher_30,Households_Served_Expected_to_Use_Voucher_30_NUMERIC,Annual_Cost_of_Vouchers_30,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_30,HUD_Avg_Monthly_Expenditure_per_HH_by_MSA_30,Annual_Administrative_Cost_30,Total_Eligible_Households_50,Total_Eligible_Households_50_NUMERIC,Total_Monthly_Cost_of_Vouchers_if_Only_Renters_Participate_50,Total_Annual_Cost_of_Vouchers_if_Only_Renters_Participate_50,Actual_Number_of_Vouchers_Available_2020_50,Actual_Number_of_Vouchers_Available_2020_50_NUMERIC,Estimated_Monthly_Expenditure_50,Estimated_Annual_Expenditure_50,Households_Served_Expected_to_Use_Voucher_50,Households_Served_Expected_to_Use_Voucher_50_NUMERIC,Annual_Cost_of_Vouchers_50,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_50,HUD_Avg_Monthly_Expenditure_per_HH_by_MSA_50,Annual_Administrative_Cost_50,Voucher_Gap_30,Voucher_Gap_50
"Akron, OH",Akron,OH,"25,669",25669,"$12,207,987 ","$146,495,844 ","6,931",6931,"$3,992,256 ","$47,907,072 ","7,738",7738,"$40,413,200 ","$53,485,980 ",$576 ,"$6,606,896 ","41,631",41631,"$17,606,394 ","$211,276,728 ","6,931",6931,"$3,992,256 ","$47,907,072 ","13,041",13041,"$61,999,864 ","$90,140,424 ",$576 ,"$11,134,664 ",18738,34700
"Albany-Schenectady-Troy, NY",Albany-Schenectady-Troy,NY,"31,425",31425,"$18,031,720 ","$216,380,640 ","10,655",10655,"$6,861,820 ","$82,341,840 ","11,794",11794,"$75,331,768 ","$91,142,520 ",$644 ,"$10,069,668 ","52,836",52836,"$27,280,034 ","$327,360,408 ","10,655",10655,"$6,861,820 ","$82,341,840 ","19,838",19838,"$116,720,528 ","$153,308,784 ",$644 ,"$16,937,962 ",20770,42181
"Albuquerque, NM",Albuquerque,NM,"28,177",28177,"$15,847,227 ","$190,166,724 ","7,298",7298,"$4,473,674 ","$53,684,088 ","14,898",14898,"$91,224,552 ","$109,591,160 ",$613 ,"$12,720,232 ","43,713",43713,"$21,230,118 ","$254,761,416 ","7,298",7298,"$4,473,674 ","$53,684,088 ","23,657",23657,"$125,016,480 ","$174,017,360 ",$613 ,"$20,198,172 ",20879,36415
"Allentown-Bethlehem-Easton, PA-NJ",Allentown-Bethlehem-Easton,PA-NJ,"22,022",22022,"$12,970,150 ","$155,641,800 ","6,784",6784,"$4,782,720 ","$57,392,640 ","8,695",8695,"$55,356,244 ","$73,557,024 ",$705 ,"$7,423,607 ","38,519",38519,"$20,494,042 ","$245,928,504 ","6,784",6784,"$4,782,720 ","$57,392,640 ","15,368",15368,"$89,628,880 ","$130,015,304 ",$705 ,"$13,121,556 ",15238,31735
"Amarillo, TX",Amarillo,TX,"7,952",7952,"$4,106,228 ","$49,274,736 ","3,198",3198,"$2,037,126 ","$24,445,512 ","2,907",2907,"$17,085,562 ","$22,224,624 ",$637 ,"$2,482,419 ","13,587",13587,"$6,063,869 ","$72,766,428 ","3,198",3198,"$2,037,126 ","$24,445,512 ","4,925",4925,"$25,515,584 ","$37,645,268 ",$637 ,"$4,204,855 ",4754,10389
"Anchorage, AK",Anchorage,AK,"10,414",10414,"$7,290,762 ","$87,489,144 ","3,252",3252,"$1,918,680 ","$23,024,160 ","4,071",4071,"$29,197,680 ","$28,824,098 ",$590 ,"$3,476,032 ","17,724",17724,"$11,491,924 ","$137,903,088 ","3,252",3252,"$1,918,680 ","$23,024,160 ","6,818",6818,"$45,962,856 ","$48,273,348 ",$590 ,"$5,821,507 ",7162,14472
"Ann Arbor, MI",Ann Arbor,MI,"16,764",16764,"$13,468,362 ","$161,620,344 ","3,567",3567,"$2,571,807 ","$30,861,684 ","5,900",5900,"$51,321,912 ","$51,050,952 ",$721 ,"$5,037,889 ","26,266",26266,"$18,370,822 ","$220,449,864 ","3,567",3567,"$2,571,807 ","$30,861,684 ","9,037",9037,"$70,202,480 ","$78,190,504 ",$721 ,"$7,716,116 ",13197,22699
"Anniston-Oxford, AL",Anniston-Oxford,AL,"3,824",3824,"$1,610,147 ","$19,321,764 ",642,642,"$297,246 ","$3,566,952 ","1,314",1314,"$5,810,791 ","$7,300,056 ",$463 ,"$1,121,825 ","5,352",5352,"$2,081,074 ","$24,972,888 ",642,642,"$297,246 ","$3,566,952 ","1,892",1892,"$7,806,106 ","$10,509,464 ",$463 ,"$1,615,026 ",3182,4710
"Asheville, NC",Asheville,NC,"12,884",12884,"$5,626,155 ","$67,513,860 ","4,712",4712,"$3,157,040 ","$37,884,480 ","5,286",5286,"$23,438,930 ","$42,495,616 ",$670 ,"$4,512,834 ","22,955",22955,"$9,320,255 ","$111,843,060 ","4,712",4712,"$3,157,040 ","$37,884,480 ","9,347",9347,"$40,358,156 ","$75,152,840 ",$670 ,"$7,980,877 ",8172,18243
"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta-Sandy Springs-Alpharetta,GA,"152,265",152265,"$105,989,696 ","$1,271,876,352 ","42,263",42263,"$35,374,131 ","$424,489,572 ","49,077",49077,"$370,298,688 ","$492,932,224 ",$837 ,"$41,902,672 ","270,591",270591,"$161,612,128 ","$1,939,345,536 ","42,263",42263,"$35,374,131 ","$424,489,572 ","84,975",84975,"$566,045,440 ","$853,491,392 ",$837 ,"$72,552,720 ",110002,228328
